,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Marsh Turnpike,Megan,Bibi,42,Head,Divorced,Female,Retail merchandiser,None,None
1,1,Marsh Turnpike,Callum,Bibi,4,Adopted Son,NA,Male,Child,None,NA
2,2,Marsh Turnpike,Leslie,Stephenson,52,Head,Married,Male,"Research officer, political party",None,Christian
3,2,Marsh Turnpike,Katie,Stephenson,53,Wife,Married,Female,Unemployed,None,None
4,3,Marsh Turnpike,Valerie,Houghton,37,Head,Married,Female,Magazine journalist,None,Christian
5,3,Marsh Turnpike,Danny,Houghton,39,Husband,Married,Male,Theatre manager,None,None
6,3,Marsh Turnpike,Donald,Houghton,1,Son,NA,Male,Child,None,NA
7,3,Marsh Turnpike,Graeme,Houghton,0,Son,NA,Male,Child,None,NA
8,4,Marsh Turnpike,Damian,Bird,39,Head,Married,Male,Animator,None,Christian
9,4,Marsh Turnpike,Helen,Bird,40,Wife,Married,Female,"Surveyor, commercial/residential",None,Christian
10,5,Marsh Turnpike,Lauren,Reed,40,Head,Divorced,Female,"Administrator, sports",None,None
11,5,Marsh Turnpike,Mathew,Savage,42,Cousin,Single,Male,Occupational hygienist,None,None
12,6,Marsh Turnpike,Helen,Turner,44,Head,Married,Female,Tourist information centre manager,None,Catholic
13,6,Marsh Turnpike,Shane,Turner,46,Husband,Married,Male,"Merchandiser, retail",None,Catholic
14,6,Marsh Turnpike,Elizabeth,Turner,15,Daughter,NA,Female,Student,None,NA
15,6,Marsh Turnpike,Oliver,Turner,12,Son,NA,Male,Student,None,NA
16,6,Marsh Turnpike,Toby,Turner,12,Son,NA,Male,Student,None,NA
17,7,Marsh Turnpike,Grace,Edwards,44,Head,Single,Female,Tree surgeon,None,None
18,7,Marsh Turnpike,Mohammad,Edwards,17,Son,NA,Male,Student,None,NA
19,7,Marsh Turnpike,Clive,Edwards,16,Son,NA,Male,Student,None,NA
20,7,Marsh Turnpike,Josh,Edwards,14,Son,NA,Male,Student,None,NA
21,7,Marsh Turnpike,Natasha,Edwards,13,Daughter,NA,Female,Student,None,NA
22,8,Marsh Turnpike,Laura,Noble,77,Head,Widowed,Female,Unemployed,None,Christian
23,8,Marsh Turnpike,Cameron,Noble,42,Son,Divorced,Male,Consulting civil engineer,None,None
24,8,Marsh Turnpike,Natalie,Noble,40,Daughter,Single,Female,"Education officer, museum",None,Christian
25,8,Marsh Turnpike,Stanley,Noble,35,Son,Single,Male,Veterinary surgeon,None,Christian
26,8,Marsh Turnpike,Rosie,Noble,33,Daughter,Single,Female,Public affairs consultant,None,Christian
27,9,Marsh Turnpike,Abigail,Patel-Frost,27,Head,Married,Female,Pension scheme manager,None,Catholic
28,9,Marsh Turnpike,Phillip,Patel-Frost,30,Husband,Married,male,"Engineer, water",None,Catholic
29,10,Marsh Turnpike,Gillian,Lee,54,Head,Married,Female,Fine artist,None,Christian
